Madagascar,MG,0,0,0,0,0,0,0,0,0,0,0,11508226.5,14174982.4,21681412.5,4395248.404,6807594.144,14234026.65,16995691.38,14780289.44,10830986.8,4678843.957,0,0,0,0
Malawi,MW,0,0,0,0,0,0,0,0,0,1560675,5053023.24,10776108.96,18519533.28,27325159.68,18583829.72,8671252.44,6838889.46,9699206.88,8149585.64,4721585.38,3104604.12,1261245.48,0,0,0
Mali,ML,0,0,0,0,0,0,0,0,0,0,227605.747,657058.302,1235357.49,2644298.502,3134723.02,1851704.426,2053648.014,2808265.032,3232748.19,3419097.82,2403193.568,385200.88,0,0,0
Marshall Islands (the),MH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322740.096,369173.958,395262.104,395262.104,322138.616,282612.394,0,0,0
Mozambique,MZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279717.28,3907782.581,5203636.556,6183142.235,5538576.99,3738063.286,1363701.701,0,0,0,0
Myanmar,MM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13336.368,183095.3793,368671.728,388075.512,330582.852,158104.84028,10779.87528,0,0
Nepal,NP,0,0,0,0,0,0,0,0,6150549.96,7927238.16,9349313.494,15096779.53,15590309.85,19604921.48,14905857.83,1971456.15,0,0,0,0,0,0,0,0,0
Nicaragua,NI,0,0,0,0,0,0,0,0,1065733.926,3004234.905,2376665.349,2239817.589,2265002.502,1218048.18,0,0,0,0,0,0,0,0,0,0,0
Niger (the),NE,0,0,0,0,0,0,0,0,0,0,0,0,686039.964,4657241.5694,3980674.286,6434832.72,6035659.08,5466758.16,4032348.83,0,0,0,0,0,0
Nigeria,NG,0,0,0,0,0,0,0,0,0,0,0,0,6673705.2,30432477.6,30438388.8,39606552.36,56527908.24,36301363.8,32339625.6,40424532,34765098,9701888,0,0,0
Pakistan,PK,0,0,0,0,0,0,0,0,0,0,927608.14,2690548.3407,10017143.432,16744916.546,18575828.472,20297927.987,4335040.4238,9128990.8524,15480806.92,9769513.68,7395644.22,5418945.628,2102299.93,0,0
Panama,PA,0,0,0,0,103998.968,673953.578,1364783.829,1797593.175,845106.3,740277.5906,814062.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,PE,0,0,0,0,0,0,0,0,4271215.272,2555708.49,1899969.22,1493486.0468,803069.2328,336358.9352,0,0,0,0,0,0,0,0,0,0,0
Rwanda,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5480648,7354053.9,10254832.44,9881552.64,6324193.72,1581048.4,0,0,0,0
Samoa,WS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30483.1284,59664.4822,109236.068,166728.734,189725.802,206973.6,310460.408,0,0
Senegal,SN,0,0,0,0,603565.446,752331.264,962084.604,3202658.844,3215900.022,92169.166,0,165948.352,606996.507,803691.017,1012001.015,1040745.9142,5435762.596,10607491.09,14690531.5,14682864.52,12912068.76,10245118.32,0,0,0
South Sudan,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"South of Sahara, regional",289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2088908.92,946298.88,0,0,0,0,0,0,0,0,0
Sri Lanka,LK,0,0,0,0,0,0,0,0,0,0,4904339.64,10702897.62,18500320.6,22713207.54,23072948.48,14242277.04,2438650.2,1670605.5,1379824.02,0,0,0,0,0,0
Tajikistan,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745185.506,2560042.764,4015370.79,4840229.64,4711712.72,4099126.12,3887015.64,350230.88
"Tanzania, United Republic of",TZ,0,0,0,0,0,0,0,0,0,0,0,0,1529186.216,8515583.43,12461595.18,20901188.11,27187442.44,25840775.74,10020655.75,0,0,0,0,0,0
Togo,TG,0,0,0,0,0,1176946.14,2111968.096,3141910.86,4081146.24,251875.614,0,127830.476,676420.5084,1558731.358,1624125.197,699120.614,591793.92,0,0,0,0,0,0,0,0
Yemen,YE,0,0,0,0,0,0,0,0,0,0,0,600803.24,1568320.8,3011213.4,35853138.12,33685875.28,20648507.12,10441284,2515304.28,0,0,0,0,0,0
Zambia,ZM,0,0,0,0,0,0,0,0,0,0,0,903761.466,3014954.424,4584928.36,5250662.82,3624968.248,2256922.737,1107517.14,0,0,0,0,0,0,0
