Gender marker,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028,2028/2029
,0,0,0,0,0,0,0,0,0,0,62084201.03,51834125.085342,555214.27,4959178.95,2446480.75,0,0,0,0,0,0,0,0
0,0,0,0,1125500,1578112.4,68460967.45,70498108.9,136956223.66,119142641.27,64676153.21,47894917.35,36649194.5,48370219.96,80404421.7,64319846.67,0,0,0,0,0,0,0,0
1,4050000,4060071.1,3433749.1,14459702.9,32042789.1,98308357.2,156063856.2,437517465.69,431135660.53,410766906.57,537173548.89,457171085.64,409270002.78,429528385.67,266703411.7,0,0,0,0,0,0,0,0
2,0,9194,3370214,12313278.06,17396860.01,35656142.18,103396300.06,119292731.62,114439298.57,87890323.46,83903998.01,67728300.03,77563721.31,99603210.67,55030202.89,0,0,0,0,0,0,0,0
