Mozambique,MZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744388.5,0,2273314.84,0,0,0,0,0,0,0
Myanmar,MM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74493.377,0,0,0,0,0,0,0
Nepal,NP,0,0,0,0,0,0,0,0,2830847.2,1371013,5593694.44,3851362.916,9443019.35,9153272.05896,6823752.91,0,0,0,0,0,0,0,0,0,0
Nicaragua,NI,0,0,0,0,0,0,0,0,260501.423,1079518.2687,633466.934,882467.797,1994561.068,960781.69,392134.464,0,0,0,0,0,0,0,0,0,0
Niger (the),NE,0,0,0,0,0,0,0,0,0,0,0,0,63160.75,1800859.993836,869590.111,6795895.4873,1463716.052495,1103344.47972,223560.3884,0,0,0,0,0,0
Nigeria,NG,0,0,0,0,0,0,0,0,0,0,0,0,0,10404442,0,28861233,2934000.8,3876437.07,5902425.5,0,0,0,0,0,0
Pakistan,PK,0,0,0,0,0,0,0,0,0,0,0,51132.19,6311087.162,2239977.7,12497299.1423,3047265.5557,5268483.8737,5144281.0437,0,0,0,0,0,0,0
Panama,PA,0,0,0,0,0,91838.533,544348.852,736524.709,218807.464,409679.41,774020.865,293771.153,-14531.646,0,0,0,0,0,0,0,0,0,0,0,0
Peru,PE,0,0,0,0,0,0,0,0,0,0,4231665.8363,24735.197,2520202.711,1623594.808,461756.051,-8219.6,0,0,0,0,0,0,0,0,0
Rwanda,RW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106363.4,1746163.75,2823558.85,0,0,0,0,0,0,0
Samoa,WS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133066.95,0,0,0,0,0,0,0
Senegal,SN,0,0,0,0,378511.907,522994.85174,845184.0958,519645.774,1534881.5158,862008.645,583062.533594,288360.8881,53411.511492,241160.521,361627.1172,440591.568,2258383.472,2888127.32318,187257.1,0,0,0,0,0,0
South Sudan,SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14582425.877,1510967.1079,129229.90505,-20391.1713,0,0,0,0,0,0,0
"South of Sahara, regional",289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1251267.89,284657.376,-4865.93,0,0,0,0,0,0,0,0
Sri Lanka,LK,0,0,0,0,0,0,0,0,0,0,2080460.8,5124840.07,8011564,5375848.83,14613071.51,6562812.8,546954.1,1014296.16,0,0,0,0,0,0,0
Tajikistan,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tanzania, United Republic of",TZ,0,0,0,0,0,0,0,0,0,0,0,0,0,16163564,13331215,12198548.2,7811476.5,3805264.8,0,0,0,0,0,0,0
Togo,TG,0,0,0,0,0,506267.84,922706.171,2180415.4244,2503763.0828,1036524.879,965056.709,240598.8418,398798.3794,1108902.9647,894505.2286,391104.76294,264762.3407,-50792,0,0,0,0,0,0,0
Yemen,YE,0,0,0,0,0,0,0,0,0,0,0,75100.41,0,0,32586683.3674,11153526.43,13329638.7,3031178.3576,0,0,0,0,0,0,0
Zambia,ZM,0,0,0,0,0,0,0,0,0,0,0,0,373727.5,1029037.045,2065755.73,3150342.97,1220176.485,1805155.82,0,0,0,0,0,0,0
