Gender marker,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,0,0,0,0,0,0,0,0,0,423665.136,0,0,0,0
0,0,0,0,0,0,0,0,0,0,31151778.2222,45820232.4712477,11594027.0503238,8897345.6552,4552432.0602
1,0,0,0,0,0,0,0,0,0,64704324.70854,104242903.2274,66838263.8539,45964176.9078,4842001.3
2,0,0,0,0,0,0,0,0,0,12810150.9802,17319984.587,5910275.074,6226971.36,1872950.38
